"a.padre","a.madre","s.hijo","a.hijo"
130,160,"M",160
140,160,"M",160
150,160,"M",170
160,150,"F",160
140,140,"F",140
190,150,"M",190
150,170,"F",170
160,140,"M",160
170,150,"M",170
170,150,"F",170
130,140,"M",150
180,140,"M",170
170,150,"F",170
130,150,"M",150
150,150,"M",160
180,150,"F",170
170,130,"M",160
130,140,"M",150
180,150,"M",180
180,150,"M",180
150,140,"M",160
190,150,"M",190
200,150,"M",190
170,160,"M",180
130,150,"M",150
180,160,"M",190
140,150,"M",160
160,160,"M",170
160,150,"M",170
160,130,"F",150
190,160,"F",180
160,150,"M",170
150,150,"F",160
190,150,"M",190
180,140,"M",170
180,140,"F",170
190,140,"M",180
130,160,"F",150
180,130,"M",170
180,140,"F",170
170,150,"M",170
170,140,"M",170
180,150,"M",180
140,150,"F",150
170,150,"F",170
190,150,"F",180
160,160,"M",170
200,150,"F",180
150,150,"M",160
150,140,"F",150
160,160,"F",170
150,140,"F",150
200,170,"M",200
160,140,"M",160
180,140,"M",170
200,140,"M",190
240,140,"M",210
150,160,"F",160
190,170,"F",190
160,150,"M",170
190,150,"M",190
170,150,"M",170
150,150,"F",160
180,160,"F",180
180,160,"M",190
150,140,"F",150
180,140,"M",170
200,140,"F",180
210,140,"M",190
170,150,"F",170
180,140,"M",170
150,150,"F",160
170,150,"F",170
190,140,"M",180
180,150,"M",180
140,160,"M",160
160,170,"M",180
170,140,"M",170
200,160,"M",200
140,150,"F",150
130,140,"M",150
250,150,"M",220
130,140,"M",150
160,140,"M",160
150,170,"F",170
180,150,"F",170
190,130,"M",170
180,140,"F",170
210,150,"F",190
140,160,"M",160
190,150,"F",180
190,140,"F",170
160,150,"M",170
140,160,"M",160
170,150,"F",170
150,140,"F",150
200,150,"F",180
160,130,"M",160
140,160,"M",160
170,140,"F",160
180,160,"M",190
150,140,"F",150
170,140,"F",160
160,150,"F",160
160,160,"F",170
160,160,"F",170
160,150,"F",160
110,160,"F",140
140,170,"F",160
190,150,"F",180
170,140,"M",170
170,160,"F",170
200,150,"F",180
170,150,"M",170
170,150,"F",170
190,160,"F",180
160,150,"F",160
130,130,"F",130
210,160,"F",190
170,150,"M",170
150,160,"M",170
140,150,"F",150
100,160,"M",140
180,150,"F",170
150,150,"M",160
150,130,"F",140
170,160,"M",180
150,140,"F",150
170,140,"M",170
170,150,"F",170
190,150,"M",190
190,150,"M",190
160,150,"M",170
170,150,"F",170
180,140,"M",170
210,150,"M",200
170,160,"M",180
170,140,"M",170
210,150,"M",200
150,160,"M",170
130,150,"M",150
160,150,"M",170
150,150,"F",160
160,140,"F",160
180,150,"F",170
180,150,"M",180
220,140,"M",200
180,160,"M",190
160,150,"F",160
180,170,"F",180
160,160,"M",170
170,130,"M",160
180,160,"M",190
140,130,"F",140
130,160,"F",150
180,140,"F",170
160,150,"M",170
190,150,"F",180
160,150,"M",170
170,140,"F",160
170,150,"M",170
140,150,"M",160
130,150,"M",150
180,150,"F",170
200,150,"M",190
170,150,"F",170
150,150,"M",160
170,140,"M",170
180,150,"M",180
180,150,"M",180
190,160,"F",180
170,150,"M",170
160,140,"M",160
130,140,"F",140
140,130,"F",140
150,130,"F",140
160,150,"M",170
190,130,"M",170
170,140,"M",170
200,120,"M",170
120,160,"M",150
200,140,"F",180
160,140,"F",160
200,130,"M",180
150,150,"M",160
140,130,"M",150
130,150,"M",150
200,140,"M",190
130,150,"F",140
190,170,"M",200
180,150,"F",170
180,150,"F",170
160,160,"F",170
160,160,"F",170
230,150,"M",210
190,140,"F",170
160,160,"M",170
160,170,"M",180
120,160,"M",150
190,150,"M",190
140,160,"F",160
170,150,"M",170
180,160,"M",190
170,150,"M",170
210,140,"M",190
170,140,"M",170
240,150,"M",210
140,150,"F",150
200,140,"F",180
190,130,"F",170
150,150,"M",160
190,160,"M",190
170,150,"M",170
160,140,"M",160
150,140,"F",150
160,140,"F",160
190,150,"F",180
140,160,"F",160
210,140,"M",190
170,160,"M",180
170,160,"M",180
170,170,"M",190
160,140,"F",160
120,160,"F",140
180,180,"F",190
210,150,"M",200
190,160,"F",180
210,150,"M",200
170,140,"F",160
140,140,"M",150
190,160,"F",180
140,140,"F",140
220,150,"M",200
190,170,"M",200
190,150,"F",180
170,130,"F",160
180,150,"M",180
200,160,"F",190
140,160,"M",160
160,150,"F",160
220,140,"M",200
140,160,"F",160
160,150,"M",170
150,170,"M",170
150,150,"M",160
140,160,"M",160
140,140,"F",140
140,160,"F",160
170,160,"M",180
180,130,"F",160
140,160,"M",160
150,150,"F",160
180,160,"M",190
180,150,"M",180
190,160,"F",180
190,150,"M",190
180,160,"M",190
190,140,"F",170
190,150,"F",180
180,150,"M",180
180,170,"F",180
160,150,"M",170
180,140,"F",170
200,150,"F",180
150,150,"F",160
140,140,"M",150
190,140,"F",170
180,140,"F",170
180,170,"M",190
150,160,"M",170
180,150,"M",180
160,150,"F",160
190,150,"M",190
170,160,"F",170
180,160,"F",180
160,140,"F",160
120,160,"F",140
140,150,"M",160
180,170,"M",190
140,140,"F",140
180,140,"F",170
130,160,"F",150
170,130,"M",160
150,140,"F",150
200,150,"M",190
150,160,"M",170
150,150,"F",160
150,150,"F",160
180,150,"M",180
150,140,"F",150
110,140,"M",140
200,150,"F",180
210,160,"F",190
190,140,"F",170
160,130,"F",150
180,140,"F",170
190,150,"F",180
120,150,"F",140
170,150,"F",170
180,130,"F",160
190,150,"M",190
140,130,"F",140
200,150,"F",180
200,150,"M",190
190,140,"F",170
180,150,"F",170
170,130,"F",160
170,160,"M",180
180,160,"M",190
180,150,"F",170
190,150,"F",180
190,140,"M",180
170,160,"F",170
140,150,"F",150
140,140,"F",140
160,160,"F",170
130,150,"M",150
110,160,"F",140
140,150,"F",150
130,140,"M",150
180,170,"M",190
180,150,"M",180
160,170,"M",180
160,130,"M",160
150,130,"F",140
180,160,"F",180
190,150,"M",190
160,150,"F",160
140,150,"F",150
180,160,"M",190
180,130,"M",170
130,160,"M",160
180,150,"M",180
190,150,"M",190
170,150,"M",170
120,160,"F",140
170,150,"F",170
210,150,"M",200
130,150,"F",140
170,160,"F",170
170,160,"F",170
200,140,"M",190
150,160,"M",170
140,160,"M",160
170,140,"F",160
170,150,"F",170
160,160,"F",170
130,160,"M",160
140,140,"M",150
130,150,"M",150
190,150,"F",180
150,170,"M",170
180,150,"M",180
190,160,"F",180
190,150,"F",180
160,160,"M",170
180,140,"M",170
150,160,"F",160
190,140,"F",170
140,140,"M",150
220,170,"M",210
170,140,"F",160
160,140,"F",160
170,170,"M",190
190,170,"F",190
150,140,"F",150
150,160,"M",170
200,150,"F",180
160,150,"F",160
170,160,"F",170
170,160,"M",180
160,130,"F",150
140,140,"F",140
180,160,"M",190
130,150,"M",150
170,160,"F",170
150,160,"F",160
170,140,"M",170
140,150,"M",160
140,160,"M",160
180,150,"M",180
190,150,"M",190
180,160,"F",180
160,130,"F",150
170,130,"M",160
200,140,"M",190
150,170,"M",170
150,140,"F",150
160,150,"F",160
180,140,"F",170
190,150,"F",180
160,150,"M",170
210,150,"M",200
180,150,"M",180
180,150,"F",170
160,150,"F",160
250,140,"F",200
170,150,"M",170
140,150,"F",150
200,160,"M",200
200,160,"M",200
180,150,"F",170
140,140,"F",140
160,140,"F",160
160,140,"F",160
190,150,"F",180
220,140,"F",190
120,160,"F",140
160,150,"M",170
180,140,"F",170
210,150,"F",190
140,140,"F",140
190,160,"M",190
180,140,"F",170
200,150,"M",190
130,140,"F",140
170,160,"F",170
130,160,"M",160
170,160,"M",180
170,130,"M",160
170,170,"F",180
170,130,"F",160
150,160,"F",160
180,160,"F",180
210,160,"F",190
140,150,"M",160
190,140,"M",180
180,160,"M",190
160,140,"M",160
180,170,"F",180
170,150,"M",170
130,160,"M",160
150,130,"F",140
160,180,"M",190
130,160,"M",160
160,140,"M",160
140,140,"M",150
170,160,"F",170
220,160,"F",200
210,150,"F",190
160,160,"F",170
120,140,"F",130
190,150,"F",180
190,150,"F",180
150,150,"F",160
180,130,"M",170
180,150,"M",180
190,150,"M",190
230,150,"F",200
180,150,"M",180
160,150,"F",160
170,140,"F",160
130,140,"F",140
160,140,"M",160
150,150,"M",160
160,140,"F",160
120,130,"M",140
170,170,"M",190
200,150,"M",190
110,160,"M",150
170,150,"F",170
150,140,"F",150
190,160,"F",180
180,140,"F",170
200,150,"F",180
170,150,"F",170
150,150,"F",160
140,160,"M",160
140,150,"F",150
150,150,"F",160
140,120,"M",140
170,160,"M",180
170,150,"F",170
120,150,"M",150
200,160,"M",200
200,150,"M",190
140,150,"F",150
220,140,"F",190
160,160,"F",170
150,140,"M",160
160,150,"M",170
170,160,"M",180
150,160,"F",160
170,160,"F",170
180,130,"M",170
210,150,"F",190
130,160,"M",160
150,170,"M",170
210,150,"M",200
140,170,"M",170
170,150,"F",170
150,150,"M",160
170,150,"F",170
160,170,"M",180
190,140,"M",180
200,150,"M",190
150,140,"F",150
170,160,"F",170
170,150,"F",170
180,140,"F",170
160,140,"F",160
190,150,"M",190
160,150,"F",160
140,160,"F",160
130,140,"F",140
140,150,"F",150
190,150,"M",190
160,150,"F",160
200,150,"F",180
170,150,"F",170
160,140,"F",160
140,150,"F",150
180,170,"M",190
180,130,"M",170
160,140,"F",160
140,150,"M",160
210,160,"M",200
170,160,"F",170
140,150,"M",160
180,150,"M",180
120,150,"F",140
120,160,"M",150
150,140,"M",160
150,140,"F",150
170,140,"F",160
140,140,"M",150
200,130,"M",180
190,150,"M",190
190,170,"F",190
200,170,"F",190
190,140,"M",180
200,160,"M",200
170,150,"F",170
170,150,"F",170
170,150,"M",170
150,150,"F",160
220,140,"F",190
200,140,"M",190
120,170,"F",150
160,160,"F",170
170,160,"M",180
150,150,"F",160
190,150,"F",180
170,160,"M",180
140,160,"M",160
200,140,"M",190
180,160,"M",190
140,150,"M",160
200,160,"F",190
160,160,"M",170
180,150,"M",180
170,150,"M",170
240,150,"F",200
150,170,"M",170
180,160,"F",180
140,160,"M",160
210,150,"M",200
150,140,"F",150
180,150,"M",180
160,140,"F",160
180,170,"F",180
170,140,"M",170
160,150,"M",170
150,140,"M",160
180,160,"M",190
180,150,"F",170
190,180,"F",190
160,150,"F",160
180,160,"F",180
180,140,"F",170
190,140,"F",170
150,150,"F",160
160,140,"M",160
200,160,"F",190
120,160,"F",140
180,150,"F",170
160,160,"F",170
180,150,"F",170
210,160,"F",190
150,160,"F",160
120,160,"F",140
180,150,"F",170
160,150,"F",160
200,150,"M",190
180,150,"F",170
180,150,"M",180
150,140,"M",160
170,170,"F",180
140,170,"M",170
130,150,"F",140
160,150,"F",160
160,160,"M",170
190,140,"F",170
190,170,"F",190
110,160,"F",140
160,160,"M",170
180,150,"F",170
200,140,"M",190
140,150,"F",150
200,170,"F",190
